name
.hack//Sign
86
11eyes
91 days
A Certain Magical Index
A Certain Scientific Accelerator
A Certain Scientific Railgun
A Dark Rabbit has Seven Lives
A Lull in the Sea
A Place Further than the Universe
A Sister's All You Need.
A Town Where You Live
Absolute Duo
ACCA: 13 Territory Inspection Dept.
Accel World
Ace Attorney
Adachi and Shimamura
Aesthetica of a Rogue Hero
After School Dice Club
After the Rain
Aho Girl
AIKa: ZERO 
Air Gear
Aiura
Akame ga Kill
Akashic Records of Bastard Magic Instructor
AKB0048
Aki Sora
Alderamin on the Sky
Aldnoah.Zero
Alice & Zoroku
Amagami SS
Amagi Brilliant Park
Amanchu!
Amatsuki
And you thought there is never a girl online?
Ange Vierge
Angel Beats!
Angel Densetsu
Angel's 3Piece!
Angolmois: Record of Mongol Invasion
Anime-Gataris
Anitore! 
Anohana: The Flower We Saw That Day
Another
Anti-Magic Academy: The 35th Test Platoon
Ao-chan Can't Study!
Aokana: Four Rhythm Across the Blue
Aquarion Evol
Arakawa Under the Bridge
Are You Lost?
Aria the Avvenire
Aria the Scarlet Ammo
Arifureta: From Commonplace to World's Strongest
Armor Shop for Ladies & Gentlemen
Arte
Ascendance of a Bookworm
Asobi Asobase - workshop of fun -
Assassination Classroom
Assassins Pride
Assault Lily: BOUQUET 
Asteroid in Love
Astra Lost in Space
At The Mercy of The Sky
Atelier Escha & Logy: Alchemists of the Dusk Sky
Attack on Titan
Azumanga Daioh
Azur Lane
B: The Beginning
B.B. Fish
Baby Love
Baby Steps
Babylon
Baccano!
Baki (2018)
Bakuman
Bakuon!!
Banana Fish
BanG Dream
Barakamon
Bartender
Beastars
Beatless
Beautiful Bones: Sakurako's Investigation
Beelzebub
Berserk (1997)
Beyond the Boundary 
Big Windup!
Black Bullet
Black Clover
Black Lagoon
Blade Dance of Elementalers
Blade Runner: Black Out 2022 
Blast of Tempest
Bleach
Blend S
Blood Blockade Battlefront
Blood Lad
Blood-C
Bloom Into You
Blue Exorcist
Blue Reflection Ray
Blue Sonnet
Blue Spring Ride
Boarding School Juliet
"BOFURI: I Don't Want to Get Hurt, so I'll 
Max Out My Defense."
Boku no Boukuugou
Bokurano
Boruto: Naruto Next Generations
Brain Powerd
Brand New Animal
Btooom!
Bubblegum Crisis
Bungaku Shoujo
Bunny Drop
Call Me Tonight
Campione!
Cardcaptor Sakura
Carnival Phantasm
Carole and Tuesday
Casshern Sins
Castle Town Dandelion
Cat Planet Cuties
Cat's Eye
"Cautious Hero: The Hero Is Overpowered 
but Overly Cautious"
Celestial Method 
Cells at Work!
Chaika -The Coffin Princess-
ChäoS;Child
ChäoS;HEAd
Charlotte
Cherry no Manma
Chihayafuru
Chobits
Choujikuu Romanesque Samy: MISSING 99
Chronicles of the Going Home Club
Citrus
City Hunter
Clannad
Classroom of the Elite
Classroom☆Crisis
Claymore
Code Geass: Lelouch of the Rebellion
Code:Breaker
Coluboccoro
Comet Lucifer
Comic Girls
Conception
Cop Craft
Coppelion
Cowboy Bebop
Cross Game
Cyberpunk: Edgerunners
D-Frag!
D.Gray-man
Dagashi Kashi
"DanMachi - Is It Wrong to Try to 
Pick Up Girls in a Dungeon?"
DanMachi - Sword Oratoria
Darker than Black
Darling in the FranXX
Date a Live
Deadman Wonderland
Death March to the Parallel World Rhapsody
Death Note
Death Parade
Deca-Dence
Demon City Shinjuku
Demon King Daimao
"Demon Lord, Retry!"
Demon Slayer
Dennou Coil
Denpa teki na Kanojo
Detroit Metal City: The Animated Series
Devilman Crybaby
Diary of Our Days at the Breakwater
DIVE!!
Dog & Scissors
DOGEZA: I Tried Asking While Kowtowing.
Domestic Girlfriend
"Don't Toy with Me, Miss Nagatoro"
Dorohedoro
Dororo
Dr. Stone
Dragon Pilot: Hisone and Masotan
Dragon's Heaven
Dragonar Academy
DragonBall
DragonBall GT
DragonBall Super
DragonBall Z
Drifters
Dropkick on my Devil!
Durarara!!
Dusk Maiden of Amnesia
Eden of The East
ef
Eiken
El Hazard: The Alternative World
El Hazard: The Magnificent World
El Hazard: The Wanderers
Elfen Lied
Endro!
Engaged to the Unidentified
Erased
Ergo Proxy
Eromanga Sensei
Eureka Seven - Psalms of Planets
Fairy Gone
Fate/Apocrypha
Fate/Extra: Last Encore
"Fate/Grand Order: Absolute Demonic Front
- Babylonia"
Fate/Grand Order: First Order
Fate/Grand Order: Moonlight/Lostroom
Fate/GUDAGUDA Order
Fate/kaleid liner Prisma☆Illya 
Fate/Prototype
Fate/stay night (2006)
Fate/stay night: Unlimited Blade Works
Fate/Zero
Fire Force
FLCL
FLCL Alternative/Progressive
Flip Flappers
Flowers of Evil
Flying Witch
Food Wars!
Forest of Piano
Fractale
Frame Arms Girl
Free! 
Freezing
From the New World
Fruits Basket (Reboot)
"Full Dive: The Ultimate Next-Gen Full Dive RPG Is 
Even Shittier than Real Life!"
Full Metal Panic!
Fullmetal Alchemist (2003)
Fullmetal Alchemist Brotherhood
Future Diary
Fuuka
Gabriel Dropout
Galaxy Investigation 2100: Border Planet
Gangsta.
Gankutsuou: The Count of Monte Cristo
Gargantia on the Verdurous Planet
Garo - Crimson Moon
Garo - The Animation
Garo - Vanishing Line
Gatchaman Crowds
GATE: Thus the JSDF Fought There! 
Gekidol
Genesis Climber Mospeada
Getsuyoubi no Tawawa
Ghost in the Shell: Stand Alone Complex
Ghost Stories
Gintama
Girlish Number
Girls Bravo
Girls und Panzer
Girls' Last Tour
Girly Air Force 
Given
GJ Club
Glasslip
Goblin Slayer
God Eater
Godzilla Singular Point
Gokujo.
Golden Boy
Golden Kamuy
Golden Time
Gonna be the Twin-Tail!!
Good Luck Girl!
Gosick
Gourmet Girl Graffiti
Granbelm
Grand Blue Dreaming
Great Pretender
Great Teacher Onizuka
Grimgar: Ashes and Illusions
Ground Control to Psychoelectric Girl
Gugure! Kokkuri-san
Guilty Crown
Gunslinger Girl
Gunsmith Cats
Hacka Doll The Animation
Hades Project Zeorymer
Haganai
Haibane Renmei
Haikyuu!!
Hakumei and Mikochi
Hanasaku Iroha ~Blossoms for Tomorrow~
Hanayamata
Hand Shakers
Hanebado!
Happy Sugar Life
Haruchika: Haruta & Chika
Hatsukoi Limited
Haven't You Heard? I'm Sakamoto
Heavy Object
Hellsing (TV)
Hellsing Ultimate
Hentatsu
Heroic Age
Hi Score Girl
Hidamari no Ki
High School DxD
High School Fleet
