name
[Tsundere] 11 Eyes [BDRip h264 1920x1080 10bit FLAC]
[Orphan-M74] Kaitei 3-man Mile (1280 x 544)
[Arid] 5 Centimeters per Second [Dual-Audio][BDRip 1920x1080 Hi10 FLAC] | Byousoku 5 Centimeter
[sam] 86 | Eighty Six Part 1 + Special (BD 1080p HEVC x265 10-bit FLAC Dual Audio)
[sam] 86 Eighty-Six Part 2 + Specials (BD 1080p HEVC x265 10-bit FLAC) [Dual-Audio]
[UDF] 91 Days (BDRip 1080p x264 FLACx2) [v2] [dual-audio]
[YURI] A Certain Magical Index (Toaru Majutsu no Index) (Dual Audio) [BD 1080p x264 10bit FLAC]
[YURI] A Certain Magical Index ll (Toaru Majutsu no Index ll) (Dual Audio) [BD 1080p x264 10bit FLAC]v2
[YURI] A Certain Magical Index ll (Toaru Majutsu no Index ll) (Dual Audio) [BD 1080p x264 10bit FLAC]v2
[YURI] A Certain Magical Index the Movie: The Miracle of Endymion (Toaru Majutsu no Index Movie: Endymion no Kiseki) (Dual Audio)[BD 1080p x264 FLAC]
[Drag] Toaru Majutsu no Index III (BD 1080p x265 10-bit FLAC) [Dual Audio] | A Certain Magical Index III
[LostYears] A Certain Scientific Accelerator - Season 1 (WEB 1080p 10-bit AAC) [Dual-Audio] (To Aru Kagaku no Accelerator)
[IK] A Certain Scientific Railgun / Toaru Kagaku no Railgun [S1 + S2 + S3] (BD 1080p FLAC) [Dual Audio]
A.Certain.Scientific.Railgun.S02.1080p-Hi10p.BluRay.FLAC2.0.x264-CTR (English Dubbed Dual Audio)
[LostYears] A Certain Scientific Railgun T (WEB 1080p x264 10-bit AAC) [Dual-Audio] (To Aru Kagaku no Railgun T)
[WBDP] A Dark Rabbit Has Seven Lives / Itsuka Tenma no Kuro Usagi [BD][1080p-FLAC]
[Tsundere] Itsuka Tenma no Kuro Usagi (Batch) [BDRip h264 1920x1080 10bit FLAC]
[Arid] A Letter to Momo [Dual-Audio][BDRip 1920x1080 x264 FLAC] | Momo e no Tegami
[Arid] A Lull in the Sea [Dual-Audio][BDRip 1920x1080 Hi10 FLAC] | Nagi no Asukara
[MTBB] Sora yori mo Tooi Basho – A Place Further than the Universe (BD 1080p)
[Arid] A Silent Voice v2 [Dual-Audio][BD 1920x1036 x264 FLAC DTS-HD MA]
[Kametsu] A Silent Voice (BD 1080p HI10 FLAC) [Dual-Audio]
[KH] A Sister's All You Need (BD 1080p) [Dual-Audio]
[IK] Kimi no Iru Machi (A Town Where You Live) [BD 1920x1080 x264 FLAC] [DVD x264 FLAC] [Anime + Manga]
[ASC] ACCA: 13-Territory Inspection Dept. (BD 1080p Hi10 FLAC) [Dual-Audio]
Aika Zero (BD 1080p x264 10bit - FLAC 2.0) [Quetzal] [v2]
[Kametsu] AKB0048 (BD 1080p Hi10 FLAC) [Dual-Audio]
[Kametsu] AKB0048 Next Stage (BD 1080p Hi10 FLAC) [Dual-Audio]
[Kametsu] AKB0048 Next Stage (BD 1080p Hi10 FLAC) [Dual-Audio]
[FFF] AKB0048 Next Stage [BD][1080p-FLAC]
[KH] Absolute Duo (BD 1920x1080 x264-10bit FLAC) [Dual-Audio]
Absolute Duo [BD1080 x264 FLAC] [Exp]
[FFF] Accel World [BD][1080p-FLAC]
[SOLA] Accel World: Infinite Burst (2016) - Movie (BD 1080p x264 Hi10P FLAC 5.1 Dual Audio)
"[Pog42] Ace Attorney | Gyakuten Saiban: Sono Shinjitsu, Igi Ari! (BD 1080p HEVC x265 10-bit Opus)"
[CsS] Adachi to Shimamura | Adachi and Shimamura (BD 1080p x264 Hi10P FLAC) [Dual-Audio]
[LostYears] Adachi and Shimamura (WEB 1080p x264 10-bit AAC) [Dual-Audio] | Adachi to Shimamura
