a-title
86 ―Eighty Six―
11 Eyes
Toaru Majutsu no Index
Toaru Kagaku no Accelerator
Toaru Kagaku no Railgun
Itsuka Tenma no Kuro Usagi
Nagi no Asukara
Sora yori mo Tooi Basho
Imouto sae Ireba Ii.
Kimi no Iru Machi
ACCA: 13-ku Kansatsu-ka
"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!"
Adachi to Shimamura
Hagure Yuusha no Aesthetica
Houkago Saikoro Club
Koi wa Ameagari no You ni
"Rokudenashi Majutsu Koushi 
to Akashic Records"
Nejimaki Seirei Senki: Tenkyou no Alderamin
Alice to Zouroku
"Netoge no Yome wa Onnanoko 
ja Nai to Omotta?"
Tenshi no 3P!
Angolmois: Genkou Kassenki
Anime De Training! 
"Ano Hi Mita Hana no Namae wo Bokutachi wa 
Mada Shiranai."
Taimadou Gakuen 35 Shiken Shoutai 
Midara na Ao-chan wa Benkyou ga Dekinai
Ao no Kanata no Four Rhythm
Sounan desu ka?
Hidan no Aria
Arifureta Shokugyou de Sekai Saikyou
Otona no Bouguya-san
"Honzuki no Gekokujou: Shisho ni Naru Tame
ni wa Shudan wo Erandeiraremasen "
Asobi Asobase
Ansatsu Kyoushitsu
Koisuru Asteroid
Kanata no Astra
Sora no Manimani
"Escha & Logy no Atelier: 
Tasogare no Sora no Renkinjutsushi"
Shingeki no Kyojin
"Sakurako-san no Ashimoto ni wa 
Shitai ga Umatteiru"
Kenpuu Denki Berserk
Kyoukai no Kanata
Ookiku Furikabutte
Seirei Tsukai no Blade Dance
Zetsuen no Tempest
Kekkai Sensen
Yagate Kimi ni Naru
Ao no Exorcist
Akai Kiba: Blue Sonnet
Ao Haru Ride
Kishuku Gakkou no Juliet
"Itai no wa Iya nano de Bougyoryoku ni 
Kyokufuri Shitai to Omoimasu."
BNA
Usagi Drop
"Campione!: Matsurowanu Kamigami 
to Kamigoroshi no Maou"
Joukamachi no Dandelion
Asobi ni Iku yo!
"Shinchou Yuusha: Kono Yuusha ga Ore 
Tueee Kuse ni Shinchou Sugiru"
Sora no Method
Hataraku Saibou!
Hitsugi no Chaika
Chaos;Child
Chaos;Head
Kitakubu Katsudou Kiroku
"Youkoso Jitsuryoku Shijou 
Shugi no Kyoushitsu e"
Code Geass: Hangyaku no Lelouch
"Dungeon ni Deai wo Motomeru no wa 
Machigatteiru Darou ka"
"Dungeon ni Deai wo Motomeru no wa 
Machigatteiru Darou ka Gaiden: 
Sword Oratoria"
Darker than Black: Kuro no Keiyakusha
"Death March Kara Hajimaru 
Isekai Kyousoukyoku"
Makai Toshi Shinjuku
Ichiban Ushiro no Daimaou
"Maou-sama, Retry!"
Kimetsu no Yaiba
Detroit Metal City
Houkago Teibou Nisshi
Inu to Hasami wa Tsukaiyou
Dogeza de Tanondemita
"Domestic na Kanojo
"
"Ijiranaide, Nagatoro-san"
Hisone to Masotan
Seikoku no Dragonar
DBGT
DBS
DBZ
Jashin-chan Dropkick
 
Tasogare Otome x Amnesia
Higashi no Eden
ef: A Tale of Memories/Melodies
Eiken: Eikenbu yori Ai wo Komete
Ijigen no Sekai El Hazard
Shinpi no Sekai El Hazard
Mikakunin de Shinkoukei
Boku Dake ga Inai Machi
"Fate/Grand Order: Zettai Majuu 
Sensen Babylonia"
Enen no Shouboutai
"Fooly Cooly, Furi Kuri"
Aku no Hana
Shokugeki no Souma
Piano no Mori
Shinsekai Yori
"Kyuukyoku Shinka shita Full Dive RPG ga 
Genjitsu yori mo Kusoge Dattara"
"Hagane no Renkinjutsushi, FMA"
"Hagane no Renkinjutsushi, FMAB"
Mirai Nikki
Ginga Tansa 2100-nen: Border Planet
Gankutsuou
Suisei no Gargantia
Garo: Guren no Tsuki
Garo: Honoo no Kokuin
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
Kikou Souseiki Mospeada
Tawawa on Monday
Koukaku Kidoutai: Stand Alone Complex
"Gintama
Gintama'
Gintama' Enchousen
Gintama°
Gintama.
Gintama. Porori-hen
Gintama. Shirogane no Tamashii-hen
Gintama°: Aizome Kaori-hen"
Gi(a)rlish Number
Shoujo Shuumatsu Ryokou
GJ-bu
Godzilla: S.P
"Gokujo. Gokurakuin Joshikou 
Ryou Monogatari"
"Ore, Twintail ni Narimasu."
Binbougami ga!
Koufuku Graffiti
Grand Blue
Hai to Gensou no Grimgar
Denpa Onna to Seishun Otoko
Meiou Project Zeorymer
Boku wa Tomodachi ga Sukunai 
Hakumei to Mikochi
Hanasaku Iroha 
HaruChika - Haruta to Chika wa Seishun suru
Sakamoto desu ga
High Score Girl
Haifuri
Gakuen Mokushiroku
"Choujin Koukousei-tachi wa Isekai demo 
Yoyuu de Ikinuku you desu!, Choyoyu"
Higurashi no Naku Koro ni
Hinomaru Zumou
Kareshi Kanojo no Jijou
Hachimitsu to Clover
Blazing Transfer Student
Kyoukaisen-jou no Horizon
Sarai-ya Goyou
Dumbbell Nan Kilo Moteru?
"Isekai Maou to Shoukan Shoujo no 
Dorei Majutsu"
Jinrui wa Suitai Shimashita
Masou Gakuen HxH
Choujigen Game Neptune The Animation
Danna ga Nani wo Itteiru ka Wakaranai Ken
"Yuusha ni Narenakatta Ore wa Shibushibu 
Shuushoku wo Ketsui Shimashita."
Hashiri Tsuzukete Yokattatte.
"Slime Taoshite 300-nen, Shiranai Uchi 
ni Level Max ni Nattemashita"
Idolish Seven
Kanojo ga Flag wo Oraretara
Uchi no Musume
Isekai wa Smartphone to Tomo ni.
Ushinawareta Mirai wo Motomete
"Inari, Konkon, Koi Iroha."
IS: Infinite Stratos
Ishuzoku Reviewers 
Demi-chan wa Kataritai
Inuyashiki
Rokujouma no Shinryakusha!?
Gochuumon wa Usagi Desu ka?
Kore wa Zombie Desu ka?
Nihon Chinbotsu
Jinsei
JoJo no Kimyou na Bouken 
"JoJo no Kimyou na Bouken - 
Stardust Crusaders"
"JoJo no Kimyou na Bouken - 
Diamond wa Kudakenai "
"JoJo no Kimyou na Bouken - 
Ougon no Kaze"
Jyu Oh Sei
Koutetsujou no Kabaneri
"Kaguya-sama wa Kokurasetai: 
Tensai-tachi no Renai Zunousen"
Kamisama Hajimemashita
Toji no Miko
Eizouken ni wa Te wo Dasu na!
"Shijou Saikyou no Deshi Kenichi
History's Strongest Disciple Kenichi "
Sakamichi no Apollon
Kimi ni Todoke
Kiniro Mosaic
Kino's Journey
Kino no Tabi -the Beautiful World-
Watashi ga Motete Dousunda
KissXsis
Maiko-san Chi no Makanai-san
Sidonia no Kishi
Komori-san wa Kotowarenai!
Kono Oto Tomare!
"Kono Subarashii Sekai ni Shukufuku wo!
"
Kuma Miko
Black Butler
Yuru Camp△
Houseki no Kuni
Ginga Eiyuu Densetsu
Ginga Eiyuu Densetsu: Die Neue These
GInga EIyuu Densetsu: Gaiden
Toshokan Sensou
"Lord El-Melloi II Sei no Jikenbo: 
Rail Zeppelin Grace Note"
Madan no Ou to Vanadis
Koi to Uso
Chuunibyou demo Koi ga Shitai!
Koi to Senkyo to Chocolate
Lunn wa Kaze no Naka
Macross F
"Magia Record: Mahou Shoujo 
Madoka☆Magica Gaiden"
Mahou Shoujo Ikusei Keikaku
Mahou Shoujo Tokushusen Asuka
Mahou Sensou
Majimoji Rurumo
Mahou Shoujo Nante Mou Ii Desukara.
Manyuu Hikenchou
Maoyuu Maou Yuusha
3-gatsu no Lion
Junketsu no Maria
Masamune-kun no Revenge
Soushin Shoujo Matoi
Michiko to Hatchin
Sunoharasou no Kanrinin-san
Kobayashi-san Chi no Maid Dragon
Chiisana Eiyuu
Monster Musume no Iru Nichijou
Gekkan Shoujo Nozaki-kun
Seirei no Moribito
Ramen Daisuki Koizumi-san
Mushishi
Mushoku Tensei: Isekai Ittara Honki Dasu
Hajimete no Gal
Boku no Hero Academia
Tonari no Kaibutsu-kun
Ore no Imouto ga Konnani Kawaii Wake ga Nai
Ore Monogatari
"NouCome, Ore no Nounai Sentakushi 
ga, Gakuen Love Comedy wo Zenryoku 
de Jama Shiteiru"
Tonari no Seki-kun
"Otome Game no Hametsu Flag shika 
Nai Akuyaku Reijou ni Tensei shiteshimatt 
Hamefura"
Senpai ga Uzai Kouhai no Hanashi
"Yahari Ore no Seishun Love 
Comedy wa Machigatteiru."
Musaigen no Phantom World
Nazo no Kanojo X 
Fushigi no Umi no Nadia
Ryuugajou Nanana no Maizoukin
Natsume Yuujinchou
Shinseiki Evangelion
Netsuzou TRap 
Nichijou
Nisekoi
Nourin
"Ima, Soko ni Iru Boku"
Araburu Kisetsu no Otome-domo yo.
ODDTAXI
Isshuukan Friends.
"Onii-chan Dakedo Ai Sae Areba 
Kankei Nai yo ne!"
Because I Don't Like My Big Brother At All--!!
"Ore no Kanojo to Osananajimi 
ga Shuraba Sugiru"
Ore wo Suki nano wa Omae dake ka yo
Urasekai Picnic
Itsudatte Bokura no Koi wa 10cm datta
Kikou Kai Galient
Mousou Dairin
Kiseijuu - Sei no Kakuritsu
Mawaru Penguindrum
Peter Grill to Kenja no Jikan
Photon
Pi Po Pa Po Patrol
Planetarian: Chiisana Hoshi no Yume
Oshiete! Galko-chan
Udon no Kuni no Kiniro Kemari
Pocket Monsters: The Origin
Hakumei no Tsubasa
Poputepipikku
Bishounen Tanteidan
PriConne
Kangoku Gakuen
"Mondaiji-tachi ga Isekai kara 
Kuru Sou Desu yo?"
Soujuu Senshi Psychic Wars
Mahou Shoujo Madoka☆Magica
Rainbow: Nisha Rokubou no Shichinin
"Seishun Buta Yarou wa Bunny Girl 
Senpai no Yume wo Minai"
Re:Zero kara Hajimeru Isekai Seikatsu
3D Kanojo: Real Girl
"Saikin, Imouto no Yousu ga 
Chotto Okashiinda ga."
Grancrest Senki
Lodoss-tou Senki
Net-juu no Susume
Kaifuku Jutsushi no Yarinaoshi
"Kanojo, Okarishimasu"
Isekai Shokudou
Shoujo Kakumei Utena
Rokka no Yuusha
Sanzoku no Musume Ronja 
Heya Camp△
Rosario to Vampire
Versailles no Bara
Kimi ga Nozomu Eien
Kaze ga Tsuyoku Fuiteiru
Saenai Heroine no Sodatekata
Youjo Senki
Sakurada Reset
The Story of Saiunkoku
Gakkou Gurashi! 
Rikei ga Koi ni Ochita no de Shoumei shitemita.
Kuzu no Honkai
Asa Made Jugyou Chu!
Senryuu Shoujo
Owari no Seraph
sin: Nanatsu no Taizai
"Shimoneta to Iu Gainen ga Sonzai Shinai 
Taikutsu na Sekai"
"Ore ga Ojousama Gakkou ni ""Shomin Sample"" 
Toshite Gets♥Sareta Ken"
Shounen Maid
Showa Genroku Rakugo Shinju
Gin no Saji
Yesterday wo Uttate
SK∞
Runway de Waratte
Akagami no Shirayuki-hime
"Dakara Boku wa, H ga Dekinai."
Somali to Mori no Kamisama
Sora no Woto
Hibike! Euphonium
Uchuu Kyoudai
Space☆Dandy
Uchuu Patrol Luluco
Ookami to Koushinryou
Uchuu Senkan Yamato
Uchuu Senkan Yamato 2199
Stella Jogakuin Koutou-ka C³-bu
Ichigo Mashimaro
Kamisama no Inai Nichiyoubi
Chou Kousoku Galvion
Aoi Hana
Senki Zesshou Symphogear
Tada-kun wa Koi wo Shinai
Taishou Otome Otogibanashi
Tanaka-kun wa Itsumo Kedaruge 
Karakai Jouzu no Takagi-san
Uchuu no Kishi Tekkaman Blade
Isekai no Seikishi Monogatari
Zankyou no Terror
Tetsujin 28-gou
Tensei shitara Slime Datta Ken
Oda Nobuna no Yabou
Mahoutsukai no Yome
Gakusen Toshi Asterisk
Vanitas no Carte 
Mangaka-san to Assistant-san to
Kamisama ni Natta Hi
Machikado Mazoku
"Tantei wa Mou, Shindeiru."
Hataraku Maou-sama!
"Saiki Kusuo no Ψ-nan
Saiki Kusuo no Ψ-nan: Kanketsu-hen
Saiki Kusuo no Ψ-nan: Ψ-shidou-hen"
Ryuu no Haisha
Meikyuu Black Company
Uchouten Kazoku
Nekogami Yaoyorozu
Totsukuni no Shoujo
Fune wo Amu
Midori no Neko
Hentai Ouji to Warawanai Neko.
Sewayaki Kitsune no Senko-san 
Mahouka Koukou no Rettousei
Bokura wa Minna Kawai-sou
"Koneko no Rakugaki
Koneko no Studio"
Kubikiri Cycle: Aoiro Savant to Zaregototsukai
Densetsu no Yuusha no Densetsu
Kouya no Kotobuki Hikoutai
Suzumiya Haruhi no Yuuutsu
Maou Gakuin no Futekigousha
Subete ga F ni Naru
Sakurasou no Pet na Kanojo
Tennis no Ouji-sama
Yakusoku no Neverland
Gotoubun no Hanayome
Tate no Yuusha no Nariagari
Ryuuou no Oshigoto!
Seijo no Maryoku wa Bannou Desu
Nanatsu no Taizai
Dansai Bunri no Crime Edge
Yojouhan Shinwa Taikei 
Shinmai Maou no Testament
Juuni Kokuki
Tenkuu no Escaflowne
Soredemo Sekai wa Utsukushii
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Mashiro no Oto
Fumetsu no Anata e
Emiya-san Chi no Kyou no Gohan
Tonikaku Kawaii
Kami no Tou
Tsurezure Children
Futatsu no Spica
Ulysses: Jeanne d'Arc to Renkin no Kishi
Uma Musume: Pretty Derby
Umineko no Naku Koro ni
Machine-Doll wa Kizutsukanai
Saijaku Muhai no Bahamut
Juuou Mujin no Fafnir
Urara Meirochou
Uzaki-chan wa Asobitai!
Kakumeiki Valvrave
Ano Natsu de Matteru
Hourou Musuko
Majo no Tabitabi
Sekai de Ichiban Tsuyoku Naritai!
"Watashi ga Motenai no wa Dou 
Kangaetemo Omaera ga Warui!"
Watashi ni Tenshi ga Maiorita!
Bokutachi wa Benkyou ga Dekinai 
Ballroom e Youkoso
NHK ni Youkoso 
Inou-Battle wa Nichijou-kei no Naka de
Sasameki Koto
Nande Koko ni Sensei ga!? 
"selector infected WIXOSS
selector spread WIXOSS
Lostorage incited WIXOSS
Lostorage conflated WIXOSS"
Ookami Shoujo to Kuro Ouji
"Shuumatsu Nani Shitemasu ka? Isogashii Desu 
ka? Sukutte Moratte Ii Desu ka? - SukaSuka"
Seiken Tsukai no World Break
Sekai Seifuku: Bouryaku no Zvezda
Shuumatsu no Harem
Wotaku ni Koi wa Muzukashii
WWW.WAGNARIA!!
Bounen no Xamdou
Yamada-kun to 7-nin no Majo
B Gata H Kei
Yamatarou Kaeru
Hanyou no Yashahime: Sengoku Otogizoushi
Akatsuki no Yona
Yosuga no Sora
Kimi to Boku.
Shigatsu wa kimi no Uso 
Yuu☆Yuu☆Hakusho
Yuri Kuma Arashi
